,moniker,operator_address,precommits,reward
0,Citadel.one,bostromvaloper1argjwgcplguenq4l92ggn06wadnfrz0eq6yysn,1427542.0,5612582845
1,groovybear,bostromvaloper177y7sqkxmvl22j632haf8y9gv0j3wedsg6nyyv,1351492.0,5313581537
2,qwertys318,bostromvaloper1402rpwdquxxkgvl740f6w69l65eau5vkcztud9,1316975.0,5177873080
3,CyberObiOne,bostromvaloper1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9suu4j2,1309336.0,5147839273
4,Godzilla,bostromvaloper1dxpm2ne0jflzr2hy9j5has6u2dvfv68c99mvs8,1268787.0,4988415157
5,dobry,bostromvaloper1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvwazf77,1267222.0,4982262138
6,sta,bostromvaloper1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcqf92r73,1265646.0,4976065872
7,KappaRoss | StakeAngle,bostromvaloper1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfjeqjne,1225459.0,4818065010
8,0base.vc,bostromvaloper152m9xcx0ht7yxr5834ju7qjcyvetw8am44jz3d,1145608.0,4504119534
9,kernelpanic,bostromvaloper15n3t80p7eseld809f7fu3s9tlcezlymk3rmt4s,1092230.0,4294256393
10,Papsan,bostromvaloper18naxcfp2s397a2ucav2m53f003uylk3q6lwnna,1053685.0,4142711286
11,web34ever∞DVS,bostromvaloper15zs0cjct43xs4z4sesxcrynar5mxm82fh73g0j,1040284.0,4090023363
12,Kerman,bostromvaloper1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3wvvr8e,1022204.0,4018939291
13,cyberG|DVS,bostromvaloper1en69twaxmv7xupy8lq7y539dpecx7yz8s43ceg,984386.0,3870252487
14,P2P.ORG - P2P Validator,bostromvaloper1daxxqs56f6j5qxxtjrjkexghsmnaj66tpghggy,956352.0,3760032860
15,busted,bostromvaloper1ymprf45c44rp9k0g2r84w2tjhsq7kalvaayh3g,942291.0,3704750054
16,Developer,bostromvaloper1nywu6z26tpcrr2kcqe8z7t235wrfkhfc3dcat4,938222.0,3688752206
17,Borsh,bostromvaloper1mnqlcc7mslzxcf798acp80u2fxudsuzdt4xe2n,923739.0,3631810247
18,POSTHUMAN∞DVS,bostromvaloper1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zt56fhc,884527.0,3477642735
19,kiwi,bostromvaloper1w4tk9lj8qtx2x4xf4emgrnq950hnlajs795qpl,869970.0,3420409835
20,AdoridNew,bostromvaloper1s8l0akn79kk74g32kf86stfsa08ck9qmr0t97n,867179.0,3409436625
21,eto_piter_detka,bostromvaloper10aqelwndkz9k8uawp26elxep64ayc5rgtsjgwz,862180.0,3389782351
22,cyberwar,bostromvaloper1ap7zhu5gxlk7n3g97dqehm9nnt3mje3nmw4xgn,856820.0,3368708754
23,bubles,bostromvaloper1j6he98h8xwnt2yp9eczhhuff3k3hvk98sedpf6,846036.0,3326309936
24,zippy,bostromvaloper1mskldfjlnup46adzss7lukfh3emm6z4lr6sfwp,833025.0,3275155354
25,Nett,bostromvaloper1njsr8tngxtygsc73mrtn5738ztkzqy7cx7egpg,816403.0,3209803615
26,MindPool,bostromvaloper12ysvrknuwdr6737fnc06v875whfh52xjfrfzef,753268.0,2961579452
27,goto5k,bostromvaloper10trdf5eyfcmc9graltx4hmpgznhrm7hd6adf6s,748211.0,2941697143
28,CitizenCosmos,bostromvaloper1f7nx65pmayfenpfwzwaamwas4ygmvalqj6dz5r,736573.0,2895940703
29,DragonBall,bostromvaloper1dt9lwmuq8rkngm5gajxchqhpcnavgp7m4lt66x,733854.0,2885250571
30,DemonKing,bostromvaloper1nvr4qa7szsd3e7xfysn946gcqv5wyemlquue3d,565351.0,2222757245
31,PLap,bostromvaloper1wm4026rxqcrkh09k806m6y4lys942etxvz4a4p,541410.0,2128629825
32,web3spring,bostromvaloper1zeg2k7kd8qadmwd3kslwmag3erq7hqxtv86dzp,474474.0,1865461494
33,CyberMan,bostromvaloper16h7tyj5p69t3r7qasunf938cx2elp38f06lpjq,449769.0,1768330300
34,alinode,bostromvaloper1jdmfxzpnqqlhjsju3mz7qsgvvdparw5aque52f,423328.0,1664373777
35,Nwanne,bostromvaloper1smsn8u0h5tlvt3jazf78nnrv54aspgedaddv0x,369906.0,1454337644
36,medium,bostromvaloper15kl5tv0smz5h8eewu5hs9mtnusz4dereu6pemd,358265.0,1408569410
37,gilgalad,bostromvaloper1uew6fawa3ahu60tj5kspmr4u0zvljj69c0hw3n,351146.0,1380580057
38,csaxial,bostromvaloper1ezpth4mp3eeqdt49kgqd5ctr69xev6v2s737vq,343729.0,1351419074
39,wombat,bostromvaloper1avvkajdvmj9d8jpl0ga4scftjykeuhjpg8zfeh,339552.0,1334996609
40,MindPool,bostromvaloper1gd9r9uhd8a5k2naudq4hua3vf3lkwhfrrqkl8r,331035.0,1301510822
41,NodeMarsel,bostromvaloper1vrym7t34gs9t2dkd8z849zcymkj54kgqxm2khp,313117.0,1231063676
42,igod24,bostromvaloper1lk3yjcn0lvwj9f2dj75m8y3smpq5s5zstf4wrp,305805.0,1202315516
43,space,bostromvaloper1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qnmq9q4,302339.0,1188688448
44,blue,bostromvaloper1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2sx8ydn,297872.0,1171125807
45,trivecta1972,bostromvaloper1hk49ws6ded79xmwehv7yrw3q6mfj7kul9npl8q,281883.0,1108262797
46,24c25248318b,bostromvaloper1vx9qctuxswd6ydcv4z5pcuuvct7y9l0nc6e649,275468.0,1083041319
47,stardust,bostromvaloper1cjyv02cja896rr5y5lks79enk2nretn3r6r82x,248099.0,975436233
48,bro_n_bro,bostromvaloper1ydc5fy9fjdygvgw36u49yj39fr67pd9m5qexm8,227454.0,894267502
49,Trey,bostromvaloper1wkjn2nc4v5g3tpjj043wxtmeda90ql3yc62jd0,207224.0,814730401
50,bloqhub,bostromvaloper1gh09lmm8flkuu3w38mr4axvunnu6qqlaexfan0,193367.0,760249650
51,Node_masters,bostromvaloper1zy553za8nenzukmv65240323jhuvxzymdmc97x,185330.0,728651051
52,lux8.net,bostromvaloper1m0tjgkrh4td9fcp8nnssu3rfdahzfgds026q0x,173525.0,682238027
53,Adorid,bostromvaloper1mnfalar08dsvtwutmh43lnhx2zzmq7xh4xcxt3,165340.0,650057544
54,Adorid2,bostromvaloper1g36u05ehktgw5h5udj8hyudd9057d9txaeaaf2,77224.0,303617054
55,Alx,bostromvaloper175tm6fucmk0e29cfgzaud6kqgksy25p8l03dkv,6679.0,26259431
56,linak,bostromvaloper1v46pz6ddetfc3tnvdr28ss0l48jhazgytkxwga,3810.0,14979552
