,subject,reward
0,bostrom1argjwgcplguenq4l92ggn06wadnfrz0ecqrmqs,5612582845
1,bostrom177y7sqkxmvl22j632haf8y9gv0j3wedssq5m50,5313581537
2,bostrom1402rpwdquxxkgvl740f6w69l65eau5vkqcvrax,5177873080
3,bostrom1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9gxm2zf,5147839273
4,bostrom1dxpm2ne0jflzr2hy9j5has6u2dvfv68calunqy,4988415157
5,bostrom1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvk89kwa,4982262138
6,bostrom1hmkqhy8ygl6tnl5g8tc503rwrmmrkjcq3lduwj,4976065872
7,bostrom1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehf2r8dr6,4818065010
8,bostrom152m9xcx0ht7yxr5834ju7qjcyvetw8amd04apw,4504119534
9,bostrom15n3t80p7eseld809f7fu3s9tlcezlymkfeu59n,4294256393
10,bostrom18naxcfp2s397a2ucav2m53f003uylk3qz9fvr7,4142711286
11,bostrom15zs0cjct43xs4z4sesxcrynar5mxm82f0ykhl3,4090023363
12,bostrom1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3kktuh6,4018939291
13,bostrom1en69twaxmv7xupy8lq7y539dpecx7yz8g0k8ft,3870252487
14,bostrom1daxxqs56f6j5qxxtjrjkexghsmnaj66tejshc8,3760032860
15,bostrom1ymprf45c44rp9k0g2r84w2tjhsq7kalv98rgpt,3704750054
16,bostrom1nywu6z26tpcrr2kcqe8z7t235wrfkhfcfhlzmk,3688752206
17,bostrom1mnqlcc7mslzxcf798acp80u2fxudsuzdn0px6s,3631810247
18,bostrom1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9znwak8m,3477642735
19,bostrom1w4tk9lj8qtx2x4xf4emgrnq950hnlajsxlnl3u,3420409835
20,bostrom1s8l0akn79kk74g32kf86stfsa08ck9qmm4v6ws,3409436625
21,bostrom10aqelwndkz9k8uawp26elxep64ayc5rgn24h7p,3389782351
22,bostrom1ap7zhu5gxlk7n3g97dqehm9nnt3mje3nr5jecs,3368708754
23,bostrom1j6he98h8xwnt2yp9eczhhuff3k3hvk98gr27ee,3326309936
24,bostrom1mskldfjlnup46adzss7lukfh3emm6z4lmqhk7z,3275155354
25,bostrom1njsr8tngxtygsc73mrtn5738ztkzqy7c7y7h3t,3209803615
26,bostrom12ysvrknuwdr6737fnc06v875whfh52xj3ewaf2,2961579452
27,bostrom10trdf5eyfcmc9graltx4hmpgznhrm7hdz82k2n,2941697143
28,bostrom1f7nx65pmayfenpfwzwaamwas4ygmvalq2q2ayq,2895940703
29,bostrom1dt9lwmuq8rkngm5gajxchqhpcnavgp7md9v929,2885250571
30,bostrom1nvr4qa7szsd3e7xfysn946gcqv5wyemlcxmxpw,2222757245
31,bostrom1wm4026rxqcrkh09k806m6y4lys942etx5cjz9z,2128629825
32,bostrom1zeg2k7kd8qadmwd3kslwmag3erq7hqxt5aajjz,1865461494
33,bostrom16h7tyj5p69t3r7qasunf938cx2elp38fhqc7zr,1768330300
34,bostrom1jdmfxzpnqqlhjsju3mz7qsgvvdparw5acx7t62,1664373777
35,bostrom1smsn8u0h5tlvt3jazf78nnrv54aspged9h2nl9,1454337644
36,bostrom15kl5tv0smz5h8eewu5hs9mtnusz4dereyqxxtw,1408569410
37,bostrom1uew6fawa3ahu60tj5kspmr4u0zvljj69q4s3ps,1380580057
38,bostrom1ezpth4mp3eeqdt49kgqd5ctr69xev6v2gykpur,1351419074
39,bostrom1avvkajdvmj9d8jpl0ga4scftjykeuhjpsa9kf5,1334996609
40,bostrom1gd9r9uhd8a5k2naudq4hua3vf3lkwhfrm63qhq,1301510822
41,bostrom1vrym7t34gs9t2dkd8z849zcymkj54kgq7pdf8z,1231063676
42,bostrom1lk3yjcn0lvwj9f2dj75m8y3smpq5s5zsnnj3nz,1202315516
43,bostrom1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qtp86sk,1188688448
44,bostrom1ggc9sqvj0uhnzwxu5dyzcr05shwd2vv2guqmas,1171125807
45,bostrom1hk49ws6ded79xmwehv7yrw3q6mfj7kulafxqhr,1108262797
46,bostrom1vx9qctuxswd6ydcv4z5pcuuvct7y9l0nqq799x,1083041319
47,bostrom1cjyv02cja896rr5y5lks79enk2nretn3mqyc69,975436233
48,bostrom1ydc5fy9fjdygvgw36u49yj39fr67pd9mv67ety,894267502
49,bostrom1wkjn2nc4v5g3tpjj043wxtmeda90ql3yqqddav,814730401
50,bostrom1gh09lmm8flkuu3w38mr4axvunnu6qqlapuwzrv,760249650
51,bostrom1zy553za8nenzukmv65240323jhuvxzym4pl6w9,728651051
52,bostrom1m0tjgkrh4td9fcp8nnssu3rfdahzfgdshsall9,682238027
53,bostrom1mnfalar08dsvtwutmh43lnhx2zzmq7xhdulemj,650057544
54,bostrom1g36u05ehktgw5h5udj8hyudd9057d9tx9r6zef,303617054
55,bostrom175tm6fucmk0e29cfgzaud6kqgksy25p884kjx0,26259431
56,bostrom1v46pz6ddetfc3tnvdr28ss0l48jhazgynvp3c7,14979552
